_id,apiUrl,capabilities,contextWindow,costPer1kTokens,description,displayNameBottom,displayNameTop,id,isActive,isFavorite,maxTokens,name,openrouterModelId,order,provider,subtitle
jn70qf3pnx8rz4jma22qsnx6rs7hk49b,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents"",""reasoning""]",2000000,0.0035,Advanced reasoning and multimodal capabilities,2.5 Pro,Gemini,gemini-2.5-pro-preview-06-05,TRUE,TRUE,8192,Gemini 2.5 Pro,google/gemini-2.5-pro-preview,2,google,
jn72756wst9n3bvps5s3rmdfg97hkbns,https://api.openai.com/v1/,"[""vision""]",32000,0.0002,Ultra-compact version of GPT 4.1,4.1 Nano,GPT,gpt-4.1-nano,TRUE,FALSE,2048,GPT 4.1 Nano,openai/gpt-4.1-nano,17,openai,
jn72bsaj5bxdwemzbf3eeh16kn7hk4a4,https://api.x.ai/v1/chat/completions,,128000,0.002,X.AI's advanced language model,3,Grok,grok-3-beta,TRUE,FALSE,8192,Grok 3,x-ai/grok-3-beta,32,x-ai,
jn72j3dsd7ryfrgqcvygemdqe97hjp0d,https://generativelanguage.googleapis.com,"[""vision"",""web"",""documents""]",1000000,0.000075,Enhanced reasoning with thinking mode (Thinking),2.5 Flash,Gemini,gemini-2.5-flash-preview-05-20-thinking,TRUE,FALSE,8192,Gemini 2.5 Flash,google/gemini-2.5-flash-preview-05-20:thinking,12,google,(Thinking)
jn72wy9ywvq1rgsw64a5ak7bw17hjm2r,https://api.openai.com/v1/,"[""vision"",""reasoning""]",128000,0.003,Efficient reasoning model,Mini,o4,o4-mini,TRUE,TRUE,65536,o4 mini,openai/o4-mini,4,openai,
jn7320m1adrbfgbza61nnr7q057hkfv8,https://api.openai.com/v1/,"[""reasoning""]",128000,0.008,Advanced reasoning model - compact version,Mini,o3,o3-mini,TRUE,FALSE,65536,o3 mini,openai/o3-mini,18,openai,
jn73fwp4n9syx7pavv0nbz7et57hjpm7,https://generativelanguage.googleapis.com,"[""vision""]",500000,0.000035,Lightweight version of Gemini 2.0 Flash,2.0 Lite,Gemini,gemini-2.0-flash-lite,TRUE,FALSE,4096,Gemini 2.0 Flash Lite,google/gemini-2.0-flash-lite-001,11,google,
jn744pjd6eaxr014qpm0vc43jn7hjdjf,https://openrouter.ai/api/v1/chat/completions,"[""reasoning""]",32768,0.0008,Qwen question-answering model (OpenRouter only),QwQ 32B,Qwen,Qwen/QwQ-32B,TRUE,FALSE,8192,Qwen qwkq-32b,qwen/qwq-32b-preview,34,qwen,
jn7456yyda7b08jj7g53ky0zn57hjrak,https://openrouter.ai/api/v1/chat/completions,"[""experimental""]",32768,0.0008,Alibaba's Qwen model (OpenRouter only),2.5 32b,Qwen,qwen2.5-32b-instruct,TRUE,FALSE,8192,Qwen 2.5 32b,qwen/qwen-2.5-72b-instruct,35,qwen,
jn747g7k09gf0xvsmb8g5x989h7hjr8a,https://api.deepseek.com/,"[""reasoning"",""experimental""]",32768,0.0001,Latest reasoning model (0528),R1,DeepSeek,deepseek-r1-0528,TRUE,FALSE,8192,DeepSeek R1,deepseek/deepseek-r1:free,30,deepseek,0528
